mountain,mountainLabel,area,countryLabel,rockMaterialLabel
http://www.wikidata.org/entity/Q4777,Рорайма,50,Бразилия,песчаник
http://www.wikidata.org/entity/Q4777,Рорайма,50,Венесуэла,песчаник
http://www.wikidata.org/entity/Q35644,Mount Pindo,4702.6439,Испания,гранит
http://www.wikidata.org/entity/Q39231,Фудзияма,19311.9,Япония,базальт
http://www.wikidata.org/entity/Q40758,Демавенд,1193,Иран,
http://www.wikidata.org/entity/Q80344,Олимп,19139.59,Греция,
http://www.wikidata.org/entity/Q120314,Утайшань,18415,Китай,
http://www.wikidata.org/entity/Q120314,Утайшань,42312,Китай,
http://www.wikidata.org/entity/Q122225,Seongsan Ilchulbong,5.88,Республика Корея,
http://www.wikidata.org/entity/Q122225,Seongsan Ilchulbong,51.8,Республика Корея,
http://www.wikidata.org/entity/Q122225,Seongsan Ilchulbong,117,Республика Корея,
http://www.wikidata.org/entity/Q130321,Афон,33042,Греция,
http://www.wikidata.org/entity/Q151445,Басс-Рок,0.05,Великобритания,
http://www.wikidata.org/entity/Q657937,Penyal d'Ifac Natural Park,51.08759,Испания,известняк
http://www.wikidata.org/entity/Q657937,Penyal d'Ifac Natural Park,53.3,Испания,известняк
http://www.wikidata.org/entity/Q571753,Wielka Racza,330.135,Польша,
http://www.wikidata.org/entity/Q571753,Wielka Racza,330.135,Словакия,
http://www.wikidata.org/entity/Q572889,Lovoš,51.2273,Чехия,базальт
http://www.wikidata.org/entity/Q588031,Simbo,13,Соломоновы Острова,
http://www.wikidata.org/entity/Q614531,Остров Анциферова,7,Россия,
http://www.wikidata.org/entity/Q619701,Зеленгора,160,Босния и Герцеговина,осадочная горная порода
http://www.wikidata.org/entity/Q622616,Лушань,282,Китай,
http://www.wikidata.org/entity/Q639487,Охраняемый природный район Питон,2909,Сент-Люсия,
http://www.wikidata.org/entity/Q641588,Ареналь (вулкан),120.8,Коста-Рика,андезит
http://www.wikidata.org/entity/Q886384,Блуп-Блуп,3.5,Папуа — Новая Гвинея,
http://www.wikidata.org/entity/Q890658,Остров Богослова,0.7,США,
http://www.wikidata.org/entity/Q893249,Bopser,2.042,Германия,
http://www.wikidata.org/entity/Q895701,Dreistelzberg,160000,Германия,
http://www.wikidata.org/entity/Q897834,Брандберг (гора),450,Намибия,гранит
http://www.wikidata.org/entity/Q928681,Пику,13.41,Португалия,
http://www.wikidata.org/entity/Q937130,Trou au Natron,40,Чад,трахит
http://www.wikidata.org/entity/Q207323,Вулькано,21,Италия,
http://www.wikidata.org/entity/Q207917,Немрут-Даг,11,Турция,
http://www.wikidata.org/entity/Q216059,Тайшань,426,Китай,
http://www.wikidata.org/entity/Q216059,Тайшань,25000,Китай,
http://www.wikidata.org/entity/Q248212,Баррен (Андаманские острова),8,Индия,
http://www.wikidata.org/entity/Q254143,Саккар,34,Папуа — Новая Гвинея,
http://www.wikidata.org/entity/Q260465,Budj Bim,9935,Австралия,
http://www.wikidata.org/entity/Q278021,Арасбаран,724.6,Иран,
http://www.wikidata.org/entity/Q278021,Арасбаран,125255,Иран,
http://www.wikidata.org/entity/Q279980,Ольга,21.68,Австралия,
