mountain,mountainLabel,coordinates,elevation,rockMaterialLabel
http://www.wikidata.org/entity/Q513,Джомолунгма,Point(86.925 27.988055555),8848.86,горная порода
http://www.wikidata.org/entity/Q513,Джомолунгма,Point(86.925 27.988055555),8848.86,лёд
http://www.wikidata.org/entity/Q524,Везувий,Point(14.42919 40.82261),1281,Тефрит
http://www.wikidata.org/entity/Q583,Монблан,Point(6.865 45.832777777),4805.59,гранит
http://www.wikidata.org/entity/Q583,Монблан,Point(6.865 45.832777777),4805.59,гнейс
http://www.wikidata.org/entity/Q1024,Триглав,Point(13.836667 46.378333),2864,известняк
http://www.wikidata.org/entity/Q1248,Визо,Point(7.091666666 44.6675),3841,Офиолиты
http://www.wikidata.org/entity/Q1374,Маттерхорн,Point(7.658611111 45.976388888),4477.54,метаморфическая горная порода
http://www.wikidata.org/entity/Q1451,Пинатубо,Point(120.35 15.13),1486,андезит
http://www.wikidata.org/entity/Q1451,Пинатубо,Point(120.35 15.13),1486,Дацит
http://www.wikidata.org/entity/Q1451,Пинатубо,Point(120.35 15.13),1486,basaltic andesite
http://www.wikidata.org/entity/Q1484,Майон,Point(123.685 13.256666666),2462,базальт
http://www.wikidata.org/entity/Q1484,Майон,Point(123.685 13.256666666),2462,андезит
http://www.wikidata.org/entity/Q1484,Майон,Point(123.685 13.256666666),2462,basaltic andesite
http://www.wikidata.org/entity/Q1484,Майон,Point(123.685 13.256666666),2462,Пикробазальты
http://www.wikidata.org/entity/Q3375,Цугшпитце,Point(10.986314 47.421217),2962.06,осадочная горная порода
http://www.wikidata.org/entity/Q4049,Петровы камни,Point(17.233805555 50.0685),1447,Филлит
http://www.wikidata.org/entity/Q4425,Эйгер,Point(8.005286822 46.577607529),3967,известняк
http://www.wikidata.org/entity/Q4675,Сент-Хеленс,Point(-122.189444444 46.200277777),2549,Дацит
http://www.wikidata.org/entity/Q4777,Рорайма,Point(-60.764166666 5.141944444),2810,песчаник
http://www.wikidata.org/entity/Q7093,Неулос,Point(2.947110073 42.482101374),1257,кристаллические сланцы
http://www.wikidata.org/entity/Q7093,Неулос,Point(2.947110073 42.482101374),1257,аспидный сланец
http://www.wikidata.org/entity/Q7093,Неулос,Point(2.947110073 42.482101374),1257,Филлит
http://www.wikidata.org/entity/Q13668,Kreuzjoch,Point(11.9825 47.251666666),2558,Филлит
http://www.wikidata.org/entity/Q15126,Гран-Комбен,Point(7.299166666 45.9375),4309,метаморфическая горная порода
http://www.wikidata.org/entity/Q15132,Бернина,Point(9.908111111 46.382388888),4048,диорит
http://www.wikidata.org/entity/Q15134,Tödi,Point(8.914722222 46.811111111),3612,известняк
http://www.wikidata.org/entity/Q15138,Титлис,Point(8.437777777 46.771944444),3238,известняк
http://www.wikidata.org/entity/Q15139,Diablerets,Point(7.189166666 46.303888888),3216,осадочная горная порода
http://www.wikidata.org/entity/Q15224,Зентис,Point(9.343333 47.249167),2501,известняк
http://www.wikidata.org/entity/Q15225,Vanil Noir,Point(7.148361111 46.528472222),2389,известняк
http://www.wikidata.org/entity/Q15239,Geissflue,Point(7.956747222 47.419885),963,известняк
http://www.wikidata.org/entity/Q15258,Lägern,Point(8.394722222 47.481666666),866,известняк
http://www.wikidata.org/entity/Q15286,Вильдштрубель,Point(7.528611111 46.400277777),3244,осадочная горная порода
http://www.wikidata.org/entity/Q15299,Napf,Point(7.94 47.004166666),1408,Конгломерат
http://www.wikidata.org/entity/Q15308,Speer,Point(9.12294 47.1857),1950.5,Конгломерат
http://www.wikidata.org/entity/Q15312,Юнгфрау,Point(7.9625 46.536944444),4158,осадочная горная порода
http://www.wikidata.org/entity/Q16525,Мёнх,Point(7.997222222 46.558333333),4110,известняк
http://www.wikidata.org/entity/Q16527,Sustenhorn,Point(8.455277777 46.698888888),3503,метаморфическая горная порода
http://www.wikidata.org/entity/Q30549,Les Droites,Point(6.989166666 45.933055555),4000,гранит
http://www.wikidata.org/entity/Q35644,Mount Pindo,Point(-9.119813888 42.893883333),627,гранит
http://www.wikidata.org/entity/Q38128,Les Courtes,Point(7.003422222 45.927441666),3856,гранит
http://www.wikidata.org/entity/Q39231,Фудзияма,Point(138.7275 35.360555555),3777.24,базальт
